block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
3,1471536750768439212,256376256,Camden,Room in Central London,51.5213998,-0.1098469,Private room,Private room in home
3,713893863349489274,268416645,Camden,Private Double Room in Warren Street,51.52525,-0.1396,Private room,Private room in townhouse
3,714588696949562914,268416645,Camden,Private Double Room in Warren Street,51.5252,-0.13978,Private room,Private room in townhouse
3,719016896973247041,268416645,Camden,Private Double Room in Warren Street,51.52457,-0.13991,Private room,Private room in townhouse
3,670866834739408220,446421145,Camden,Classic Studio Apartment in Zone 1 near Holborn,51.5189,-0.1083,Entire home/apt,Entire rental unit
3,933260559284649545,446421145,Camden,Classic Studio Apartment in Zone 1 near Holborn,51.51877,-0.10786,Entire home/apt,Entire rental unit
3,1243861340357627233,446421145,Camden,Classic Studio Apartment in Zone 1 near Holborn,51.519182145936334,-0.1081037795910854,Entire home/apt,Entire rental unit
3,644342609086982200,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51921,-0.1062,Entire home/apt,Entire serviced apartment
3,917908880817788599,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.51869132540909,-0.106229632567415,Entire home/apt,Entire rental unit
3,954799769571355395,446421145,Camden,Spacious Studio Apartment in Zone 1 near Holborn,51.519087672705695,-0.1063112007200968,Entire home/apt,Entire rental unit
3,49479378,399051716,City of London,"""Like-home"" living experience with City2Stay",51.5148959,-0.108694,Entire home/apt,Entire serviced apartment
3,1070853556848477821,399051716,City of London,"""Like-home"" living experience with City2Stay",51.5148959,-0.108694,Entire home/apt,Entire serviced apartment
3,1070933366351776139,399051716,City of London,"""Like-home"" living experience with City2Stay",51.5148959,-0.108694,Entire home/apt,Entire serviced apartment
3,1024525547040480709,399051716,City of London,"City outside, tranquillity inside with City2Stay",51.5143552567344,-0.1090148386230449,Entire home/apt,Entire serviced apartment
3,1070799065039044198,399051716,City of London,"City outside, tranquillity inside with City2Stay",51.51446,-0.1093185,Entire home/apt,Entire serviced apartment
3,1070962914785985524,399051716,City of London,"City outside, tranquillity inside with City2Stay",51.51446,-0.1093185,Entire home/apt,Entire serviced apartment
