id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
1082713624856032256,De Baarsjes - Oud-West,private_room,hotel,135.0,67,4.42,4.25,4.72,multi,1.0
1084653678692815368,Noord-Oost,private_room,hotel,84.0,134,4.72,4.69,4.82,multi,0.94
1084747566630172593,Centrum-Oost,private_room,hotel,,86,4.4,4.54,4.66,professional,0.98
1085266654325992109,Centrum-Oost,private_room,hotel,,36,4.39,4.81,4.53,professional,0.98
1091815580643187209,De Baarsjes - Oud-West,private_room,hotel,,60,4.48,4.43,4.6,multi,1.0
1095467564153718913,Zuid,private_room,hotel,,289,4.57,4.66,4.73,professional,1.0
1096337791567082986,Centrum-West,private_room,hotel,192.0,48,4.77,4.73,4.83,professional,1.0
1096854003091398367,Oud-Oost,entire_home,apartment,213.0,99,4.55,4.66,4.68,professional,0.83
1096861088223294820,Oud-Oost,entire_home,apartment,277.0,99,4.55,4.66,4.63,professional,0.83
1096863104966096054,Oud-Oost,entire_home,apartment,279.0,47,4.4,4.49,4.64,professional,0.83
1101982642216045796,Centrum-West,private_room,hotel,176.0,104,4.64,4.78,4.81,multi,1.0
1105075438460559918,Centrum-West,private_room,hotel,,45,4.69,4.69,4.87,multi,1.0
1108669608104959701,Centrum-Oost,entire_home,apartment,911.0,36,4.72,4.75,4.81,multi,1.0
1113008528382319531,Oostelijk Havengebied - Indische Buurt,entire_home,apartment,356.0,31,4.65,4.81,4.77,multi,0.88
1113042285478213263,Oostelijk Havengebied - Indische Buurt,entire_home,apartment,400.0,90,4.63,4.61,4.76,multi,0.88
1113044804402014015,Oostelijk Havengebied - Indische Buurt,entire_home,apartment,376.0,105,4.57,4.58,4.67,multi,0.88
1115887926281172521,Centrum-West,entire_home,apartment,346.0,54,4.61,4.5,4.81,professional,0.77
1115912842823381897,Centrum-West,entire_home,apartment,363.0,38,4.5,4.53,4.63,professional,0.77
1115917564209286383,Centrum-West,entire_home,apartment,436.0,69,4.72,4.54,4.7,professional,0.77
1115920950085038102,Centrum-West,entire_home,apartment,419.0,46,4.59,4.39,4.7,professional,0.77
1116586866996363653,De Baarsjes - Oud-West,entire_home,apartment,347.0,46,4.43,4.39,4.43,multi,0.74
1118796200615080435,Centrum-Oost,private_room,hotel,,62,4.61,4.58,4.81,professional,1.0
1118798935548272098,Centrum-Oost,private_room,hotel,,104,4.69,4.71,4.84,professional,1.0
1118800894494730493,Centrum-Oost,private_room,hotel,,39,4.64,4.46,4.77,professional,1.0
1122466430682712738,Centrum-Oost,entire_home,apartment,250.0,129,4.33,4.43,4.61,multi,0.89
1122467939556628115,Centrum-Oost,entire_home,apartment,345.0,80,4.11,4.14,4.48,multi,0.89
1125830438472906013,Centrum-Oost,entire_home,apartment,212.0,108,4.26,4.31,4.52,multi,0.88
1125842306751353638,Centrum-Oost,entire_home,apartment,316.0,46,4.41,4.35,4.59,multi,0.88
1125863691122733721,Centrum-Oost,entire_home,apartment,225.0,36,4.19,4.22,4.47,multi,0.88
1130906891787023511,Bijlmer-Centrum,private_room,hotel,130.0,248,4.44,4.38,4.67,professional,1.0
1132334737447631275,Zuid,private_room,hotel,,213,4.79,4.78,4.8,professional,0.99
1132752110953161237,Centrum-West,private_room,hotel,,88,4.68,4.84,4.84,professional,1.0
1133069352316831534,Zuid,private_room,hotel,,174,4.77,4.79,4.79,professional,1.0
1135438160036890531,De Baarsjes - Oud-West,private_room,hotel,,145,4.58,4.38,4.61,multi,1.0
1135815753606055677,Oud-Noord,entire_home,apartment,162.0,56,4.63,4.66,4.95,solo,1.0
1136995645703341746,De Pijp - Rivierenbuurt,private_room,house,106.0,65,4.71,4.82,4.91,solo,1.0
1140490326042473592,Centrum-Oost,private_room,hotel,,46,4.63,4.67,4.84,professional,1.0
1145422775904303199,Centrum-Oost,entire_home,apartment,200.0,52,4.56,4.38,4.73,professional,0.89
1145446407850073157,Centrum-Oost,entire_home,apartment,248.0,134,4.57,4.5,4.75,professional,0.89
1145469397440593598,Centrum-Oost,entire_home,apartment,453.0,142,4.74,4.67,4.8,professional,0.89
1146389809098621488,Centrum-West,entire_home,apartment,449.0,59,4.78,4.85,4.86,solo,1.0
1153043872338429988,Centrum-West,entire_home,apartment,212.0,33,4.55,4.39,4.64,multi,
1153534671054431144,Westerpark,entire_home,apartment,185.0,78,4.53,4.65,4.68,professional,0.82
1153537591131298918,Westerpark,entire_home,apartment,265.0,92,4.63,4.5,4.75,professional,0.82
1153539628538521069,Westerpark,entire_home,apartment,274.0,41,4.78,4.78,4.83,professional,0.82
1153542654003266630,Westerpark,entire_home,apartment,402.0,60,4.55,4.43,4.72,professional,0.82
1157222535817181903,Oostelijk Havengebied - Indische Buurt,entire_home,apartment,200.0,40,4.75,4.9,4.88,professional,0.85
1157223771943768879,Oostelijk Havengebied - Indische Buurt,entire_home,apartment,247.0,43,4.44,4.56,4.49,professional,0.85
1172516446568425964,Centrum-West,private_room,hotel,,42,4.45,3.81,4.81,solo,0.91
1181136038642103493,Centrum-West,private_room,hotel,252.0,81,4.78,4.88,4.91,multi,1.0
1192497214286318857,Centrum-Oost,private_room,hotel,115.0,35,4.77,4.69,4.97,professional,0.97
1193346490682168251,Centrum-West,entire_home,apartment,179.0,69,4.55,4.68,4.8,solo,1.0
1197640682243354608,Centrum-Oost,entire_home,apartment,194.0,73,4.74,4.81,4.89,solo,1.0
1206323394243227856,Centrum-Oost,private_room,apartment,73.0,32,4.44,4.34,4.56,multi,1.0
1223707779199380743,Centrum-Oost,entire_home,other,158.0,74,4.59,4.84,4.54,multi,1.0
1232377709431464523,Centrum-West,private_room,hotel,136.0,67,4.66,4.57,4.73,multi,0.97
1236767972591024573,De Pijp - Rivierenbuurt,private_room,hotel,,142,4.37,4.58,4.64,professional,1.0
1243289012287500670,Bijlmer-Centrum,private_room,hotel,135.0,152,4.6,4.57,4.72,professional,1.0
1262926523628473517,Bijlmer-Oost,entire_home,house,142.0,30,4.43,4.23,4.47,solo,1.0
1269518334512050670,Centrum-West,entire_home,apartment,508.0,38,4.74,4.89,4.79,solo,0.7
1289074909775975716,Centrum-West,entire_home,apartment,169.0,32,4.66,4.66,4.75,solo,1.0
1305475108011068851,Centrum-West,private_room,apartment,58.0,34,4.38,4.24,4.26,multi,0.83
1307989781180399680,Centrum-West,entire_home,apartment,258.0,35,4.63,4.74,4.63,solo,1.0
1313919886409208645,Centrum-West,private_room,house,126.0,43,4.67,4.74,4.72,multi,0.97
1358586156577118346,Centrum-West,private_room,hotel,,32,4.09,4.22,4.41,professional,0.95
1359435745888609154,Westerpark,entire_home,apartment,319.0,34,4.71,4.85,4.79,solo,1.0
1360063146226844833,Centrum-West,private_room,hotel,,32,4.0,3.69,4.31,professional,0.95
1386776872850768075,Bos en Lommer,entire_home,apartment,268.0,61,4.77,4.82,4.85,professional,1.0
1445482496485405601,Oud-Oost,private_room,hotel,,181,4.78,4.64,4.82,professional,1.0
1454890157176094842,Slotervaart,private_room,hotel,,55,4.51,4.55,4.6,multi,1.0
